,page_id,page_title
104,1defee61-94ad-80ae-acf6-eeaea330ba56,PRD-1805 - Melhorias nos Textos da interface web
105,1d7fee61-94ad-80ef-a279-ebb1a0a6a413,#1242 - Tabela de preço preferencial não está sendo aplicada no app
106,1d7fee61-94ad-8091-b533-e9db0283872c,PRD-1800 - Criar Critério de “Ajuste de Preço (%)” (Agora Variação Efetiva(%))
107,1d7fee61-94ad-8002-bf7b-d5d094f09b8f,"#1241 - Forma de pagamento com valor mínimo impede a adição de produto com valor menor do que o valor mínimo, somente se trocar a forma de pagamento."
108,1d6fee61-94ad-804a-b76c-d7e0eb9065ae,# 1240 - Política comercial de Workflow envia todos pedidos para análise quando o critério é desconto no ítem (R$).
109,1d6fee61-94ad-8004-b240-ff91b4d352b6,#1239 - Desconto pedido 
110,1d2fee61-94ad-8071-b028-d4c3a6f8fac2,#1238 - Configuração De Ambiente - Portal - Valor do campo “Página Específica” não é carregado quando “Tipo de página” é coleção.
111,1d2fee61-94ad-8015-89af-efa543d57ce2,#1237 - APP vendedor consegue ver dados a mais no Dashboard 
112,1d2fee61-94ad-8062-8e9e-c2189cd1229a,Debito técnico - indicadores: Flag de clientes inativos nos indicadores 
113,1d2fee61-94ad-8063-a40c-c8530c80ce75,#1236 - Relatório de feiras não está gerando corretamente o relatório
114,1d0fee61-94ad-8053-8d76-c619b5b47558,#1235 - Configuração de NCM inexistente levanta erro genérico 404 ao tentar inserir item no pedido.
115,1cffee61-94ad-80aa-a6c5-da1b63b505e7,#1234 - Json de pedido do app enviando descontos unitários incorretos para a web
116,1cbfee61-94ad-809d-8cbd-ec98eef6d746,#1233 - Flag de venda restrita ao estoque das configurações de ambiente não está funcionando
117,1cafee61-94ad-803b-9a74-c1ab702fdfc0,#1232 - Erro na aplicação da política Comercial de restrição de produto
118,1cafee61-94ad-805a-80a9-e3a071b37942,#1231 - Pedido não é enviado por email
119,1cafee61-94ad-8087-96ba-fc94c302e918,#1230 - Desconto da política comercial não transmite para a OMIE
120,1cafee61-94ad-8041-9638-cec571b4f6eb,#1229 - Erro ao subir um Certificado Digital no CS
121,1c8fee61-94ad-8082-886d-c8e24b900087,#1229 - Pedido foi criado para usuário inativo
122,1c8fee61-94ad-80c9-a499-dd38f73d4c81,#1228 - Links e documentos das faturas não estão disponíveis no app para vendedor baixar/encaminhar
123,1c8fee61-94ad-80a6-860e-ff5f16622a36,#1127 - Buyer não consegue logar no portal de compras
